entity_id,state,last_changed
sensor.elmatare_active_power_l1,0.146,2026-07-02T22:07:12.086Z
sensor.elmatare_active_power_l1,0.157,2026-07-02T22:07:22.089Z
sensor.elmatare_active_power_l1,0.148,2026-07-02T22:07:31.959Z
sensor.elmatare_active_power_l1,0.164,2026-07-02T22:07:41.955Z
sensor.elmatare_active_power_l1,0.158,2026-07-02T22:07:51.981Z
sensor.elmatare_active_power_l1,0.159,2026-07-02T22:08:01.966Z
sensor.elmatare_active_power_l1,0.158,2026-07-02T22:08:12.067Z
sensor.elmatare_active_power_l1,0.153,2026-07-02T22:08:21.983Z
sensor.elmatare_active_power_l1,0.151,2026-07-02T22:08:31.942Z
sensor.elmatare_active_power_l1,0.167,2026-07-02T22:08:41.964Z
sensor.elmatare_active_power_l1,0.164,2026-07-02T22:08:51.957Z
sensor.elmatare_active_power_l1,0.169,2026-07-02T22:09:02.202Z
sensor.elmatare_active_power_l1,0.162,2026-07-02T22:09:11.962Z
sensor.elmatare_active_power_l1,0.161,2026-07-02T22:09:21.959Z
sensor.elmatare_active_power_l1,0.162,2026-07-02T22:09:31.938Z
sensor.elmatare_active_power_l1,0.167,2026-07-02T22:09:41.949Z
sensor.elmatare_active_power_l1,0.158,2026-07-02T22:09:52.084Z
sensor.elmatare_active_power_l1,0.166,2026-07-02T22:10:02.143Z
sensor.elmatare_active_power_l1,0.168,2026-07-02T22:10:11.985Z
sensor.elmatare_active_power_l1,0.166,2026-07-02T22:10:21.974Z
sensor.elmatare_active_power_l1,0.172,2026-07-02T22:10:31.950Z
sensor.elmatare_active_power_l1,0.156,2026-07-02T22:10:42.067Z
sensor.elmatare_active_power_l1,0.162,2026-07-02T22:11:01.994Z
sensor.elmatare_active_power_l1,0.166,2026-07-02T22:11:11.977Z
sensor.elmatare_active_power_l1,0.156,2026-07-02T22:11:31.963Z
sensor.elmatare_active_power_l1,0.162,2026-07-02T22:11:41.959Z
sensor.elmatare_active_power_l1,0.165,2026-07-02T22:11:52.090Z
sensor.elmatare_active_power_l1,0.164,2026-07-02T22:12:02.083Z
sensor.elmatare_active_power_l1,0.159,2026-07-02T22:12:12.073Z
sensor.elmatare_active_power_l1,0.158,2026-07-02T22:12:22.081Z
sensor.elmatare_active_power_l1,0.160,2026-07-02T22:12:31.950Z
sensor.elmatare_active_power_l1,0.172,2026-07-02T22:12:41.998Z
sensor.elmatare_active_power_l1,0.094,2026-07-02T22:12:52.012Z
sensor.elmatare_active_power_l1,0.097,2026-07-02T22:13:01.962Z
sensor.elmatare_active_power_l1,0.106,2026-07-02T22:13:12.003Z
sensor.elmatare_active_power_l1,0.111,2026-07-02T22:13:21.976Z
sensor.elmatare_active_power_l1,0.108,2026-07-02T22:13:31.961Z
sensor.elmatare_active_power_l1,0.098,2026-07-02T22:13:41.952Z
